Time;FACT_Q_L;PRED_Q_L
2021-12-31 01:00:00;-86.06401953532969;3.123942603856661
2021-12-31 02:00:00;-92.05772606071494;2.995367992274804
2021-12-31 03:00:00;-88.84246593946727;2.842008819823383
2021-12-31 04:00:00;-88.5964946403119;2.6639896827207097
2021-12-31 05:00:00;-86.77993796511116;2.4862489201438334
2021-12-31 06:00:00;-80.28825690018267;2.311495457595782
2021-12-31 07:00:00;-83.0321671047427;2.214840206325441
2021-12-31 08:00:00;-85.41664244042327;1.8799892638358715
2021-12-31 09:00:00;-81.10503072702046;1.70195528099886
2021-12-31 10:00:00;-80.23881079887671;1.7319812667902699
2021-12-31 11:00:00;-83.10063826500664;2.077944635622235
2021-12-31 12:00:00;-84.2909761402293;2.6661071077302285
2021-12-31 13:00:00;-86.69503742554177;3.2207514203511978
2021-12-31 14:00:00;-91.76473009011879;3.4066357272981147
2021-12-31 15:00:00;-88.05642984548415;3.042177864511974
2021-12-31 16:00:00;-84.79010580876438;2.2186393298681253
2021-12-31 17:00:00;-82.65968070816764;1.2293740685561263
2021-12-31 18:00:00;-85.79178793095926;0.3676001086065345
2021-12-31 19:00:00;-84.77458776879949;-0.24536145547024976
2021-12-31 20:00:00;-85.04828483679809;-0.6772937609258527
2021-12-31 21:00:00;-86.93528726641367;-1.0632559331662872
2021-12-31 22:00:00;-86.7223843582907;-1.4715895102895367
2021-12-31 23:00:00;-85.12676156020835;-1.8715052224737887
2022-01-01 00:00:00;-90.30711689340733;-2.2039691058083437
2022-01-01 01:00:00;-95.46308435653253;-2.4621690897794895
2022-01-01 02:00:00;-93.60414440979275;-2.697536880654959
2022-01-01 03:00:00;-93.0296236526967;-2.9594202086647283
2022-01-01 04:00:00;-92.64986571294541;-3.247483712274134
2022-01-01 05:00:00;-91.68321969468505;-3.5319179276846095
2022-01-01 06:00:00;-89.22740221462655;-3.8094398307729493
2022-01-01 07:00:00;-89.51848604280049;-3.9562767909883036
2022-01-01 08:00:00;-90.52077711743517;-4.4511919124670065
2022-01-01 09:00:00;-86.05370990550577;-4.721988054344148
2022-01-01 10:00:00;-82.99413220120088;-4.743442519556473
2022-01-01 11:00:00;-80.85567190966178;-4.389086075028771
2022-01-01 12:00:00;-81.19298487622508;-3.746987511923887
2022-01-01 13:00:00;-80.93890910351976;-3.142506636813462
2022-01-01 14:00:00;-85.20773756382663;-2.969528522554438
2022-01-01 15:00:00;-87.38114294582297;-3.4397830854756206
2022-01-01 16:00:00;-91.54703139635333;
2022-01-01 17:00:00;-84.12472520393857;
2022-01-01 18:00:00;-77.69162391206466;
2022-01-01 19:00:00;-74.27846406884908;
2022-01-01 20:00:00;-87.30195991117672;
2022-01-01 21:00:00;-81.26374775367267;
2022-01-01 22:00:00;-77.60547789555858;
2022-01-01 23:00:00;-83.79258302248671;
2022-01-02 00:00:00;-85.33534000164899;
2022-01-02 01:00:00;-78.56213633239486;
2022-01-02 02:00:00;-81.41123055262564;
2022-01-02 03:00:00;-80.25970830116883;
2022-01-02 04:00:00;-81.16384602096308;
2022-01-02 05:00:00;-82.41274208143695;
2022-01-02 06:00:00;-83.03938553948613;
2022-01-02 07:00:00;-81.27500037719906;
2022-01-02 08:00:00;-80.72117014978723;
2022-01-02 09:00:00;-82.01969818537408;
2022-01-02 10:00:00;-81.26065519756582;
2022-01-02 11:00:00;-80.0326623815356;
2022-01-02 12:00:00;-79.05848310809472;
2022-01-02 13:00:00;-77.88036854878142;
2022-01-02 14:00:00;-83.62199547927017;
2022-01-02 15:00:00;-84.39382675077843;
2022-01-02 16:00:00;-82.44336616452766;
2022-01-02 17:00:00;-78.31933897577638;
2022-01-02 18:00:00;-72.7812149595474;
2022-01-02 19:00:00;-70.50065041114556;
2022-01-02 20:00:00;-76.10433589963748;
2022-01-02 21:00:00;-75.21310788629647;
2022-01-02 22:00:00;-68.1407704288952;
2022-01-02 23:00:00;-76.18465480453193;
2022-01-03 00:00:00;-85.24967502435618;
2022-01-03 01:00:00;-79.97024449549059;
2022-01-03 02:00:00;-83.44680709992443;
2022-01-03 03:00:00;-80.09190294283898;
2022-01-03 04:00:00;-78.44279457201655;
2022-01-03 05:00:00;-79.40141781357421;
2022-01-03 06:00:00;-72.78872912591213;
2022-01-03 07:00:00;-78.65618580637103;
2022-01-03 08:00:00;-81.88037508335267;
2022-01-03 09:00:00;-83.2496391279054;
2022-01-03 10:00:00;-83.98235834494437;
2022-01-03 11:00:00;-90.16826057084123;
2022-01-03 12:00:00;-85.93536864119554;
2022-01-03 13:00:00;-85.97076899268525;
2022-01-03 14:00:00;-84.23850770158927;
2022-01-03 15:00:00;-73.43937800203753;
2022-01-03 16:00:00;-73.72784904921768;
2022-01-03 17:00:00;-76.78038133649623;
2022-01-03 18:00:00;-75.18998302416159;
2022-01-03 19:00:00;-56.785773325445156;
2022-01-03 20:00:00;-63.92108742349358;
2022-01-03 21:00:00;-65.01706063457247;
2022-01-03 22:00:00;-69.13182356716794;
2022-01-03 23:00:00;-75.07926567139117;
2022-01-04 00:00:00;-76.5270933130169;
2022-01-04 01:00:00;-77.93569158716315;
2022-01-04 02:00:00;-86.9541683390758;
2022-01-04 03:00:00;-89.57288659730649;
2022-01-04 04:00:00;-89.90615168054644;
2022-01-04 05:00:00;-90.2284742976208;
2022-01-04 06:00:00;-82.88525329452047;
2022-01-04 07:00:00;-78.45721396397686;
2022-01-04 08:00:00;-78.80913723402652;
2022-01-04 09:00:00;-78.80900565876276;
2022-01-04 10:00:00;-83.21317785932123;
2022-01-04 11:00:00;-80.4159273392722;
2022-01-04 12:00:00;-80.05393927356322;
2022-01-04 13:00:00;-84.4773041549002;
2022-01-04 14:00:00;-80.44973209892328;
2022-01-04 15:00:00;-76.64285518667899;
2022-01-04 16:00:00;-69.57510905317712;
2022-01-04 17:00:00;-69.6778350179687;
2022-01-04 18:00:00;-74.19723759946386;
2022-01-04 19:00:00;-71.35102313196622;
2022-01-04 20:00:00;-74.77893265065647;
2022-01-04 21:00:00;-72.95671237191942;
2022-01-04 22:00:00;-76.90194850782359;
2022-01-04 23:00:00;-82.42242737987242;
2022-01-05 00:00:00;-75.34975093971373;
2022-01-05 01:00:00;-74.17298956864023;
2022-01-05 02:00:00;-77.02515677448356;
2022-01-05 03:00:00;-80.20965197259437;
2022-01-05 04:00:00;-77.6271607988207;
